,num,PET,variation,category,orig_text,clean_text,char_count,word_count,text,label,euph_status
1482,1483,muayyen günü,muayyen gününde,bodily functions,"Beylerden birisi erken kalkmak istiyor. Yenilende kalkmasın bir daha oynansın diyor. İkna edemeyince; -Zaten karın muayyen gününde gidip te ne yapacaksın eve, diyor. Karısı muayyen gününde olan eş; arkadaşının bunu bilmesine şoke oluyor ve delirmiş",beylerden birisi erken kalkmak istiyor yenilende kalkmasın bir daha oynansın diyor ikna edemeyince zaten karın muayyen gününde gidip te ne yapacaksın eve diyor karısı muayyen gününde olan eş arkadaşının bunu bilmesine şoke oluyor ve delirmiş,248,35,"Beylerden birisi erken kalkmak istiyor. Yenilende kalkmasın bir daha oynansın diyor. İkna edemeyince; -Zaten karın [PET_BOUNDARY]muayyen gününde[PET_BOUNDARY] gidip te ne yapacaksın eve, diyor. Karısı muayyen gününde olan eş; arkadaşının bunu bilmesine şoke oluyor ve delirmiş",1,sometimes_euph
1134,1135,aybaşı,aybaşı,bodily functions,"tahakkuk ve tahsil edilmekledir. Yaşlılık aylığı ve malûllük aylıkları da kamu kesiminde çalışan işçiler için aybaşı , ayın 15'i olarak alınmakta ve uygulanmaktadır. Özel sektörde çalışan işçiler için aybaşı takvim ayının biridir.",tahakkuk ve tahsil edilmekledir yaşlılık aylığı ve malllük aylıkları da kamu kesiminde çalışan işçiler için aybaşı  ayın i olarak alınmakta ve uygulanmaktadır özel sektörde çalışan işçiler için aybaşı takvim ayının biridir,230,32,"tahakkuk ve tahsil edilmekledir. Yaşlılık aylığı ve malûllük aylıkları da kamu kesiminde çalışan işçiler için [PET_BOUNDARY]aybaşı[PET_BOUNDARY], ayın 15'i olarak alınmakta ve uygulanmaktadır. Özel sektörde çalışan işçiler için aybaşı takvim ayının biridir.",0,sometimes_euph
2087,2088,tuvalet ihtiyacını karşılamak,tuvalet ihtiyaçlarının karşılanması,bodily functions,", değişik şehirlerden gelen konuklarımızın, yurtdışından gelen hemşerilerimizin ve özellikle bayanlarımızın tuvalet ihtiyaçlarının karşılanması için ilçemizin muhtelif yerlerinde 2 adet umuma açık tuvalet hizmeti planlanması ve yapılması. Lüleburgazspor'da",değişik şehirlerden gelen konuklarımızın yurtdışından gelen hemşerilerimizin ve özellikle bayanlarımızın tuvalet ihtiyaçlarının karşılanması için ilçemizin muhtelif yerlerinde  adet umuma açık tuvalet hizmeti planlanması ve yapılması lüleburgazsporda,256,28,", değişik şehirlerden gelen konuklarımızın, yurtdışından gelen hemşerilerimizin ve özellikle bayanlarımızın [PET_BOUNDARY]tuvalet ihtiyaçlarının karşılanması[PET_BOUNDARY] için ilçemizin muhtelif yerlerinde 2 adet umuma açık tuvalet hizmeti planlanması ve yapılması. Lüleburgazspor'da",0,sometimes_euph
2280,2281,eli uzun,eli uzun,physical/mental attributes,"diğer çocuklar mahşerde bunlara ne yapacak çok merak ediyorum. Torpil konusunda sadece siyasileri eleştirmeyin, eli uzun olan herkes illâ bir yerinden tutuyor. Teşkilatçı olsun, vekil olsun, bakan olsun, bakmayan olsun, bürokrat olsun,",diğer çocuklar mahşerde bunlara ne yapacak çok merak ediyorum torpil konusunda sadece siyasileri eleştirmeyin eli uzun olan herkes ill bir yerinden tutuyor teşkilatçı olsun vekil olsun bakan olsun bakmayan olsun bürokrat olsun,235,32,"diğer çocuklar mahşerde bunlara ne yapacak çok merak ediyorum. Torpil konusunda sadece siyasileri eleştirmeyin, [PET_BOUNDARY]eli uzun[PET_BOUNDARY] olan herkes illâ bir yerinden tutuyor. Teşkilatçı olsun, vekil olsun, bakan olsun, bakmayan olsun, bürokrat olsun,",0,sometimes_euph
1714,1715,aramızdan ayrıldı,aramızdan ayrıldığında,death,önce adalet sağlansın. Önce hak edene hakkı teslim edilsin.. Ha birde unutmadan şunu da belirteyim.. Aziz Yıldırım aramızdan ayrıldığında yeni sezona ne ad vereceğiz doğrusu çok merak ediyorum... ERTUNGA COLAK 7 yıl önce süleyman Seba severler buna itiraz,önce adalet sağlansın önce hak edene hakkı teslim edilsin ha birde unutmadan şunu da belirteyim aziz yıldırım aramızdan ayrıldığında yeni sezona ne ad vereceğiz doğrusu çok merak ediyorum ertunga colak  yıl önce süleyman seba severler buna itiraz,255,38,önce adalet sağlansın. Önce hak edene hakkı teslim edilsin.. Ha birde unutmadan şunu da belirteyim.. Aziz Yıldırım [PET_BOUNDARY]aramızdan ayrıldığında[PET_BOUNDARY] yeni sezona ne ad vereceğiz doğrusu çok merak ediyorum... ERTUNGA COLAK 7 yıl önce süleyman Seba severler buna itiraz,0,sometimes_euph
1223,1224,dört kollu,dört kolluya,death,"olmasın çocuk diyecek kadar inceydi. Türkiye'nin yollarının çoğunda emeği olduğu halde, biz tanıyanlar da dört kolluya binince, kimse hatırlamayacak Halil Efendi'yi. Tarihe geçmeyecek. Hakkında araştırmalar yapılmayacak. Çok çok,",olmasın çocuk diyecek kadar inceydi türkiyenin yollarının çoğunda emeği olduğu halde biz tanıyanlar da dört kolluya binince kimse hatırlamayacak halil efendiyi tarihe geçmeyecek hakkında araştırmalar yapılmayacak çok çok,229,28,"olmasın çocuk diyecek kadar inceydi. Türkiye'nin yollarının çoğunda emeği olduğu halde, biz tanıyanlar da [PET_BOUNDARY]dört kolluya[PET_BOUNDARY] binince, kimse hatırlamayacak Halil Efendi'yi. Tarihe geçmeyecek. Hakkında araştırmalar yapılmayacak. Çok çok,",1,sometimes_euph
2103,2104,ihtiyaç gidermek,ihtiyaçları giderme,bodily functions,bizim zevkimize bırakılmış durumda. Sevimli Midilli Temizle bizlere bir midillinin bütün ihtiyaçlarını görme ve bu ihtiyaçları giderme fırsatı sunmuş durumda. Uzun tekstil Uzun tekstil Telefon : 0212 6642988Faksı : 0212 Sektör : Tekstil Sektörü Uzun,bizim zevkimize bırakılmış durumda sevimli midilli temizle bizlere bir midillinin bütün ihtiyaçlarını görme ve bu ihtiyaçları giderme fırsatı sunmuş durumda uzun tekstil uzun tekstil telefon   faksı   sektör  tekstil sektörü uzun,249,35,bizim zevkimize bırakılmış durumda. Sevimli Midilli Temizle bizlere bir midillinin bütün ihtiyaçlarını görme ve bu [PET_BOUNDARY]ihtiyaçları giderme[PET_BOUNDARY] fırsatı sunmuş durumda. Uzun tekstil Uzun tekstil Telefon : 0212 6642988Faksı : 0212 Sektör : Tekstil Sektörü Uzun,0,sometimes_euph
2254,2255,ekonomik,ekonomik,employment/finances,". Misyonumuz: Müşteri taleplerini, kaynaklarını etkin ve doğru kullanarak, üstün hijyen koşullarında, kaliteli ve ekonomik ürünleri, toplumsal sorumluluklarını ihmal etmeden çalışanlarımızla beraber üretmek ve müşteri memnuniyetini",misyonumuz müşteri taleplerini kaynaklarını etkin ve doğru kullanarak üstün hijyen koşullarında kaliteli ve ekonomik ürünleri toplumsal sorumluluklarını ihmal etmeden çalışanlarımızla beraber üretmek ve müşteri memnuniyetini,231,26,". Misyonumuz: Müşteri taleplerini, kaynaklarını etkin ve doğru kullanarak, üstün hijyen koşullarında, kaliteli ve [PET_BOUNDARY]ekonomik[PET_BOUNDARY] ürünleri, toplumsal sorumluluklarını ihmal etmeden çalışanlarımızla beraber üretmek ve müşteri memnuniyetini",1,sometimes_euph
2416,2417,çıkarmak,çıkarılan,employment/finances,"Uyumluluk Yönetmeliği hükümleri gereğince yapılmaktadır. Bu yönetmelik Avrupa Birliği tarafından çıkarılan 89/336/EEC nolu EMC Direktifi'ni esas almıştır. Bu test, çalışması diğer cihazları bozan veya diğer cihazlardan",uyumluluk yönetmeliği hükümleri gereğince yapılmaktadır bu yönetmelik avrupa birliği tarafından çıkarılan eec nolu emc direktifini esas almıştır bu test çalışması diğer cihazları bozan veya diğer cihazlardan,218,26,"Uyumluluk Yönetmeliği hükümleri gereğince yapılmaktadır. Bu yönetmelik Avrupa Birliği tarafından [PET_BOUNDARY]çıkarılan[PET_BOUNDARY] 89/336/EEC nolu EMC Direktifi'ni esas almıştır. Bu test, çalışması diğer cihazları bozan veya diğer cihazlardan",0,sometimes_euph
2089,2090,tuvalet ihtiyacını karşılamak,tuvalet ihtiyacının karşılanması,bodily functions,"yıkım kararı geldi. Biz de mahkemenin kararına uyarak yıkımı gerçekleştireceğiz. "" dedi. Akpınar, Bölgedeki tuvalet ihtiyacının karşılanması için ise kabrin görüntü açısına girmeyen bir alanın araştırılacağını kaydetti. Antalya'da oturan Dilek Muratoğlu 5",yıkım kararı geldi biz de mahkemenin kararına uyarak yıkımı gerçekleştireceğiz  dedi akpınar bölgedeki tuvalet ihtiyacının karşılanması için ise kabrin görüntü açısına girmeyen bir alanın araştırılacağını kaydetti antalyada oturan dilek muratoğlu,255,32,"yıkım kararı geldi. Biz de mahkemenin kararına uyarak yıkımı gerçekleştireceğiz. "" dedi. Akpınar, Bölgedeki [PET_BOUNDARY]tuvalet ihtiyacının karşılanması[PET_BOUNDARY] için ise kabrin görüntü açısına girmeyen bir alanın araştırılacağını kaydetti. Antalya'da oturan Dilek Muratoğlu 5",0,sometimes_euph
2061,2062,öbür dünyaya göçmek,öteki dünyaya göç etti,death,". Lüleburgazspor'da başkanlık, yöneticilik ve futbolculuk yapmış bir sürü ağabeyimiz, arkadaşımız vardı. Çoğu öteki dünyaya göç etti . Dünyada terzisine ölçü veren gidiyor, gidecek! Allah'ın emri bu... Hadi hep beraber oyalanalım. Boşanma",lüleburgazsporda başkanlık yöneticilik ve futbolculuk yapmış bir sürü ağabeyimiz arkadaşımız vardı çoğu öteki dünyaya göç etti  dünyada terzisine ölçü veren gidiyor gidecek allahın emri bu hadi hep beraber oyalanalım boşanma,238,32,". Lüleburgazspor'da başkanlık, yöneticilik ve futbolculuk yapmış bir sürü ağabeyimiz, arkadaşımız vardı. Çoğu [PET_BOUNDARY]öteki dünyaya göç etti[PET_BOUNDARY]. Dünyada terzisine ölçü veren gidiyor, gidecek! Allah'ın emri bu... Hadi hep beraber oyalanalım. Boşanma",1,always_euph
2173,2174,tahrik etmek,tahrik ettiğini,sexual activity,"ettiğini dile getirdi. Almanya'da seçim propagandası yapılmasına izin verilmemesinin destekçilerini sadece tahrik ettiğini savunan Çavuşoğlu, bu seçimlerden de 16 Nisan referandumuna benzer bir sonucu elde edeceklerine inandıklarını",ettiğini dile getirdi almanyada seçim propagandası yapılmasına izin verilmemesinin destekçilerini sadece tahrik ettiğini savunan çavuşoğlu bu seçimlerden de  nisan referandumuna benzer bir sonucu elde edeceklerine inandıklarını,232,27,"ettiğini dile getirdi. Almanya'da seçim propagandası yapılmasına izin verilmemesinin destekçilerini sadece [PET_BOUNDARY]tahrik ettiğini[PET_BOUNDARY] savunan Çavuşoğlu, bu seçimlerden de 16 Nisan referandumuna benzer bir sonucu elde edeceklerine inandıklarını",0,sometimes_euph
940,941,madde,madde,substances,"309302	Damar içi madde kullanımı alışkanlığının önlenmesi, ortak enjektör kullanımı risklerinin anlatılması bu grup hastalarda HIV bulaşma riskini azaltmaktadır.","	damar içi madde kullanımı alışkanlığınınnlenmesi, ortak enjektör kullanımı risklerinin anlatılması bu grup hastalarda hiv bulaşma riskini azaltmaktadır.",153,17,"309302        Damar içi [PET_BOUNDARY]madde[PET_BOUNDARY] kullanımı alışkanlığının önlenmesi, ortak enjektör kullanımı risklerinin anlatılması bu grup hastalarda HIV bulaşma riskini azaltmaktadır.",1,sometimes_euph
1283,1284,hamileliği sonlandırmak,hamileliğin sonlandırılması,death,. Ayrıca mağdur olduğu bir suçtan dolayı gebe kalmış olan bir kadının gebeliğinin 20 haftasında kadar hamileliğin sonlandırılması mümkündür. Bunun yanı sıra 18 yaşından büyük evli kadınların gebeliğinin sonlandırılması için eşlerinin onayı,ayrıca mağdur olduğu bir suçtan dolayı gebe kalmış olan bir kadının gebeliğinin  haftasında kadar hamileliğin sonlandırılması mümkündür bunun yanı sıra  yaşından büyük evli kadınların gebeliğinin sonlandırılması için eşlerinin onayı,239,32,. Ayrıca mağdur olduğu bir suçtan dolayı gebe kalmış olan bir kadının gebeliğinin 20 haftasında kadar [PET_BOUNDARY]hamileliğin sonlandırılması[PET_BOUNDARY] mümkündür. Bunun yanı sıra 18 yaşından büyük evli kadınların gebeliğinin sonlandırılması için eşlerinin onayı,1,sometimes_euph
1059,1060,amansız hastalık,amansız hastalıkla,illness,kanserine yakalanan Dr. Jane Plant'ın hikayesini anlatmaktadır. Hastalandıktan sonra mesleğini bırakan Jane bu amansız hastalıkla yılmadan mücadele etmeye başladı. Geçen süre içinde hastalığı 4 kez tekrar etmesine rağmen pes etmedi. Daha somut,kanserine yakalanan dr jane plantın hikayesini anlatmaktadır hastalandıktan sonra mesleğini bırakan jane bu amansız hastalıkla yılmadan mücadele etmeye başladı geçen süre içinde hastalığı  kez tekrar etmesine rağmen pes etmedi daha somut,243,32,kanserine yakalanan Dr. Jane Plant'ın hikayesini anlatmaktadır. Hastalandıktan sonra mesleğini bırakan Jane bu [PET_BOUNDARY]amansız hastalıkla[PET_BOUNDARY] yılmadan mücadele etmeye başladı. Geçen süre içinde hastalığı 4 kez tekrar etmesine rağmen pes etmedi. Daha somut,1,sometimes_euph
2108,2109,ihtiyaç gidermek,ihtiyaçların giderilmesi,bodily functions,daha hızlı bir şekilde ulaşma imkanımız olmaktadır. Ülkemizde çoğu insanın gıda desteğine ihtiyacı vardır ve bu ihtiyaçların giderilmesi için de yeterli yardıma. Biz de sizlerin sayesinde daha fazla gıdaya ihtiyacı olan insanları tespit edip onların,daha hızlı bir şekilde ulaşma imkanımız olmaktadır ülkemizde çoğu insanın gıda desteğine ihtiyacı vardır ve bu ihtiyaçların giderilmesi için de yeterli yardıma biz de sizlerin sayesinde daha fazla gıdaya ihtiyacı olan insanları tespit edip onların,249,35,daha hızlı bir şekilde ulaşma imkanımız olmaktadır. Ülkemizde çoğu insanın gıda desteğine ihtiyacı vardır ve bu [PET_BOUNDARY]ihtiyaçların giderilmesi[PET_BOUNDARY] için de yeterli yardıma. Biz de sizlerin sayesinde daha fazla gıdaya ihtiyacı olan insanları tespit edip onların,0,sometimes_euph
832,833,vefat etmek,vefat etti,death,"MHP Genel Başkan Yardımcısı ve İstanbul milletvekili Celal Adan'ın  annesi Hacı Fatma Adan, vefat etti. Hacı Fatma Adan'ın cenazesinin, yarın öğle vakti Eyüp Sultan Camii 'nde kılınacak namazın ardından toprağa verileceği belirtildi","mhp genel başkan yardımcısı ve i̇stanbul milletvekili celal adan'ın  annesi hacı fatma adan, vefat etti. hacı fatma adan'ın cenazesinin, yarın öğle vakti eyüp sultan camii 'nde kılınacak namazın ardından toprağa verileceği belirtildi",233,32,"MHP Genel Başkan Yardımcısı ve İstanbul milletvekili Celal Adan'ın  annesi Hacı Fatma Adan, [PET_BOUNDARY]vefat etti[PET_BOUNDARY]. Hacı Fatma Adan'ın cenazesinin, yarın öğle vakti Eyüp Sultan Camii 'nde kılınacak namazın ardından toprağa verileceği belirtildi",1,always_euph
893,894,yoksul,yoksul,employment/finances,"Haber ajansları, başkent Dakka'nın 190 kilometre kuzeydoğusundaki Sylhet bölgesinde metanol içeren sahte içkiden tüketen en az 15 kişinin yaşamını yitirdiğini duyurdu. Yerel yetkililer, bu kişilerden ikisinin dün, diğerlerinin ise bugün öldüğünü belirtti. Yoksul halkın büyük bölümünün sahte içki tükettiği ülkede, bu nedenle çok sayıda kişi yaşamını yitiriyor.","haber ajansları, başkent dakka'nın 190 kilometre kuzeydoğusundaki sylhet bölgesinde metanol içeren sahte içkiden tüketen en az 15 kişinin yaşamını yitirdiğini duyurdu. yerel yetkililer, bu kişilerden ikisinin dün, diğerlerinin ise bugün öldüğünü belirtti. yoksul halkın büyük bölümünün sahte içki tükettiği ülkede, bu nedenle çok sayıda kişi yaşamını yitiriyor.",361,47,"Haber ajansları, başkent Dakka'nın 190 kilometre kuzeydoğusundaki Sylhet bölgesinde metanol içeren sahte içkiden tüketen en az 15 kişinin yaşamını yitirdiğini duyurdu. Yerel yetkililer, bu kişilerden ikisinin dün, diğerlerinin ise bugün öldüğünü belirtti. [PET_BOUNDARY]Yoksul[PET_BOUNDARY] halkın büyük bölümünün sahte içki tükettiği ülkede, bu nedenle çok sayıda kişi yaşamını yitiriyor.",1,sometimes_euph
1670,1671,gaz çıkarmak,gaz çıkarmayan,bodily functions,"kilisesinin rahibi olup çanları aralıksız çalmak demek. Biz kadınlar kendimizi asla sıçmayan, sıçsa da pembe sıçan, gaz çıkarmayan , hijyen timsali insanüstü varlıklar olarak göstermeye bayılırız. İşin çok daha kötüsü, buna kendimiz de inanırız.",kilisesinin rahibi olup çanları aralıksız çalmak demek biz kadınlar kendimizi asla sıçmayan sıçsa da pembe sıçan gaz çıkarmayan  hijyen timsali insanüstü varlıklar olarak göstermeye bayılırız işin çok daha kötüsü buna kendimiz de inanırız,245,34,"kilisesinin rahibi olup çanları aralıksız çalmak demek. Biz kadınlar kendimizi asla sıçmayan, sıçsa da pembe sıçan, [PET_BOUNDARY]gaz çıkarmayan[PET_BOUNDARY] , hijyen timsali insanüstü varlıklar olarak göstermeye bayılırız. İşin çok daha kötüsü, buna kendimiz de inanırız.",1,sometimes_euph
279,280,engelli,engelli,physical/mental attributes,"Fatih Mahallesi 825 Sokak'ta zihinsel engelli Mehmet H'nın evinden kötü kokular gelmesi üzerine mahalle sakinleri durumu belediyeye bildirdi. Üç gün önce temizlenen evin yeniden çöple doldurulduğunu tespit eden ekipler, Mehmet H. ile kendisi gibi zihinsel engelli olan annesi Hatice H'nın engellemesiyle karşılaştı. İlçe Emniyet Müdürlüğü ekiplerinin de ikna edemediği anne ve oğlu, biber gazı kullanılarak evden çıkarıldı. Belediyesi ekipleri, evden 7 kamyon dolusu çöp çıkardı.","fatih mahallesi 825 sokak'ta zihinsel engelli mehmet h'nın evinden kötü kokular gelmesi üzerine mahalle sakinleri durumu belediyeye bildirdi. üç gün önce temizlenen evin yeniden çöple doldurulduğunu tespit eden ekipler, mehmet h. ile kendisi gibi zihinsel engelli olan annesi hatice h'nın engellemesiyle karşılaştı. i̇lçe emniyet müdürlüğü ekiplerinin de ikna edemediği anne ve oğlu, biber gazı kullanılarak evden çıkarıldı. belediyesi ekipleri, evden 7 kamyon dolusu çöp çıkardı.",480,65,"Fatih Mahallesi 825 Sokak'ta zihinsel [PET_BOUNDARY]engelli[PET_BOUNDARY] Mehmet H'nın evinden kötü kokular gelmesi üzerine mahalle sakinleri durumu belediyeye bildirdi. Üç gün önce temizlenen evin yeniden çöple doldurulduğunu tespit eden ekipler, Mehmet H. ile kendisi gibi zihinsel engelli olan annesi Hatice H'nın engellemesiyle karşılaştı. İlçe Emniyet Müdürlüğü ekiplerinin de ikna edemediği anne ve oğlu, biber gazı kullanılarak evden çıkarıldı. Belediyesi ekipleri, evden 7 kamyon dolusu çöp çıkardı.",1,sometimes_euph
917,918,madde,madde,substances,"89737	Ayrıca madde kullanıcılarını madde tedavisine, şırınga ulaşım ve değişim programlarına, HIV, HBV ve HCV test ve danışmanlığa yönlendirirler.","	ayrıca madde kullanıcılarını madde tedavisine,rınga ulaşım ve değişim programlarına, hiv, hbv ve hcv test ve danışmanlığa yönlendirirler.",138,17,"89737        Ayrıca [PET_BOUNDARY]madde[PET_BOUNDARY] kullanıcılarını madde tedavisine, şırınga ulaşım ve değişim programlarına, HIV, HBV ve HCV test ve danışmanlığa yönlendirirler.",1,sometimes_euph
2392,2393,düşük gelirli,düşük gelirli,employment/finances,"genellikle İspanya veya Yunanistan'a yapılan benzer gezilerden daha pahalıdır, bu nedenle Malta'da çok fazla düşük gelirli turist yoktur. 2014 yılında Malta'da toplam 40.222 yatak kapasiteli 149 turizm işletmesi tescil edilmiştir.",genellikle ispanya veya yunanistana yapılan benzer gezilerden daha pahalıdır bu nedenle maltada çok fazla düşük gelirli turist yoktur  yılında maltada toplam  yatak kapasiteli  turizm işletmesi tescil edilmiştir,230,30,"genellikle İspanya veya Yunanistan'a yapılan benzer gezilerden daha pahalıdır, bu nedenle Malta'da çok fazla [PET_BOUNDARY]düşük gelirli[PET_BOUNDARY] turist yoktur. 2014 yılında Malta'da toplam 40.222 yatak kapasiteli 149 turizm işletmesi tescil edilmiştir.",0,sometimes_euph
1038,1039,aramızdan ayrıldı,aramızdan ayrılışını,death,968277	“Yeşilçam’ın sevilen simalarından Sıtkı Sezgin’in aramızdan ayrılışını derin bir üzüntü ile öğrenmiş bulunmaktayım.,“yeşilçam’ın sevilen simalarından sıtkı sezgin’in aramızdan ayrılışını derin birzüntü ilerenmiş bulunmaktayım.,111,11,968277        “Yeşilçam’ın sevilen simalarından Sıtkı Sezgin’in [PET_BOUNDARY]aramızdan ayrılışını[PET_BOUNDARY] derin bir üzüntü ile öğrenmiş bulunmaktayım.,1,sometimes_euph
667,668,madde,madde,substances,"13 yıl boyunda Fenerbahçe'de top koşturan Semih Şentürk, 29. haftada Şükrü Saraçoğlu Stadı'nda oynanacak Fenerbahçe-MP Antalyaspor maçında forma giyemeyecek. Arada transfer döneminde Antalyaspor'un sarı-lacivertlilerden kadrosuna kattığı tecrübeli golcünün sözleşmesinde özel bir madde yer alıyor. Fenerbahçe'nin şart koştuğu o maddeye göre, Semih Şentürk'ün eski takımına karşı forma giymemesi, 29. haftada oynanacak maçta sahada yer alması halinde ise para cezası ödemesi gerektiği vurgulanıyor.","13 yıl boyunda fenerbahçe'de top koşturan semih şentürk, 29. haftada şükrü saraçoğlu stadı'nda oynanacak fenerbahçe-mp antalyaspor maçında forma giyemeyecek. arada transfer döneminde antalyaspor'un sarı-lacivertlilerden kadrosuna kattığı tecrübeli golcünün sözleşmesinde özel bir madde yer alıyor. fenerbahçe'nin şart koştuğu o maddeye göre, semih şentürk'ün eski takımına karşı forma giymemesi, 29. haftada oynanacak maçta sahada yer alması halinde ise para cezası ödemesi gerektiği vurgulanıyor.",497,61,"13 yıl boyunda Fenerbahçe'de top koşturan Semih Şentürk, 29. haftada Şükrü Saraçoğlu Stadı'nda oynanacak Fenerbahçe - MP Antalyaspor maçında forma giyemeyecek. Arada transfer döneminde Antalyaspor'un sarı - lacivertlilerden kadrosuna kattığı tecrübeli golcünün sözleşmesinde özel bir [PET_BOUNDARY]madde[PET_BOUNDARY] yer alıyor. Fenerbahçe'nin şart koştuğu o maddeye göre, Semih Şentürk'ün eski takımına karşı forma giymemesi, 29. haftada oynanacak maçta sahada yer alması halinde ise para cezası ödemesi gerektiği vurgulanıyor.",0,sometimes_euph
506,507,iki canlı,iki canlısın,bodily functions,"""O sırada içeri gelen Bedar tekrardan telaş yaptı ah kuzuuum neyin var  , ne oldu yine asılmış yüzün , kuzum sen iki canlısın artık  bak kendini düşünmüyorsan bebeğini düşün emi kızım“ dedi telaşla .""","""o sırada içeri gelen bedar tekrardan telaş yaptı ah kuzuuum neyin var  ne oldu yine asılmış yüzün kuzum sen iki canlısın artık  bak kendini düşünmüyorsan bebeğini düşün emi kızım“ dedi telaşla",193,31,"""O sırada içeri gelen Bedar tekrardan telaş yaptı ah kuzuuum neyin var , ne oldu yine asılmış yüzün, kuzum sen [PET_BOUNDARY]iki canlısın[PET_BOUNDARY] artık  bak kendini düşünmüyorsan bebeğini düşün emi kızım“ dedi telaşla.""",1,sometimes_euph
1956,1957,tuvalet yapmak,tuvaletimi yapamamıştım,bodily functions,"cok uzuluyorum bende 2006 ekimde kızımı spinal anesteziyle dünyaya getirdim ,baş ağrısı kaşıntı yaşamadım ama bende tuvaletimi yapamamıştım mesanem patlamak üzereyken sonda taktılar,ertesi gün rahatça yapabildim. Şimdi Allah izin verirse 30 ekimde ikinci",cok uzuluyorum bende  ekimde kızımı spinal anesteziyle dünyaya getirdim baş ağrısı kaşıntı yaşamadım ama bende tuvaletimi yapamamıştım mesanem patlamak üzereyken sonda taktılarertesi gün rahatça yapabildim şimdi allah izin verirse  ekimde ikinci,254,33,"cok uzuluyorum bende 2006 ekimde kızımı spinal anesteziyle dünyaya getirdim ,baş ağrısı kaşıntı yaşamadım ama bende [PET_BOUNDARY]tuvaletimi yapamamıştım[PET_BOUNDARY] mesanem patlamak üzereyken sonda taktılar,ertesi gün rahatça yapabildim. Şimdi Allah izin verirse 30 ekimde ikinci",1,sometimes_euph
301,302,göğüs,göğüs,physical/mental attributes,"Emmy ödüllü aktrisin menejeri Barbara Lawrence, McClanahan'in felç geçirerek öldüğünü söyledi. Göğüs kanseri nedeniyle 1997 yılında tedavi gören McClanahan, 2009 yılında da baypas ameliyatı geçirmişti. Televizyonlarda 1980'li yıllarda gösterilen ""Altın Kızlar"" dizisinde Dorothy'i canlandıran Estelle Getty ve Sophia'yı canlandıran Estelle Getty de yaşamını yitirmişti.","emmy ödüllü aktrisin menejeri barbara lawrence, mcclanahan'in felç geçirerek öldüğünü söyledi. göğüs kanseri nedeniyle 1997 yılında tedavi gören mcclanahan, 2009 yılında da baypas ameliyatı geçirmişti. televizyonlarda 1980'li yıllarda gösterilen ""altın kızlar"" dizisinde dorothy'i canlandıran estelle getty ve sophia'yı canlandıran estelle getty de yaşamını yitirmişti.",369,44,"Emmy ödüllü aktrisin menejeri Barbara Lawrence, McClanahan'in felç geçirerek öldüğünü söyledi. [PET_BOUNDARY]Göğüs[PET_BOUNDARY] kanseri nedeniyle 1997 yılında tedavi gören McClanahan, 2009 yılında da baypas ameliyatı geçirmişti. Televizyonlarda 1980'li yıllarda gösterilen ""Altın Kızlar"" dizisinde Dorothy'i canlandıran Estelle Getty ve Sophia'yı canlandıran Estelle Getty de yaşamını yitirmişti.",1,sometimes_euph
365,366,hacet görmek,hacetini görene,bodily functions,Bir de tabii umumi  tuvaletlerde yandaki bölmede hacetini görene teşaşür sesi gitmesin için teharet musluklarının şar  şar açılıp öylecene bırakılıp gitmesinden filan .,bir de tabii umumi  tuvaletlerde yandaki bölmede hacetini görene teşaşür sesi gitmesin için teharet musluklarınınar ar açılıpylecene bırakılıp gitmesinden filan,160,20,Bir de tabii umumi  tuvaletlerde yandaki bölmede [PET_BOUNDARY]hacetini görene[PET_BOUNDARY] teşaşür sesi gitmesin için teharet musluklarının şar  şar açılıp öylecene bırakılıp gitmesinden filan.,1,sometimes_euph
1795,1796,üç harfli,üç harflidir,misc.,". Sam amca. George W. Bush gitse yerine ya gelir Hilary kılintın teyze. Ya da Barak O bama, şu sana. Uzaklardan gelir, üç harflidir . Karpitle sarartılır muz amma aslı banana. Çikita banana yahut corc dabilyu buş amca. Usama. Şaraptan anlarmış",sam amca george w bush gitse yerine ya gelir hilary kılintın teyze ya da barak o bama şu sana uzaklardan gelir üç harflidir  karpitle sarartılır muz amma aslı banana çikita banana yahut corc dabilyu buş amca usama şaraptan anlarmış,243,41,". Sam amca. George W. Bush gitse yerine ya gelir Hilary kılintın teyze. Ya da Barak O bama, şu sana. Uzaklardan gelir, [PET_BOUNDARY]üç harflidir[PET_BOUNDARY]. Karpitle sarartılır muz amma aslı banana. Çikita banana yahut corc dabilyu buş amca. Usama. Şaraptan anlarmış",0,sometimes_euph
